user_id,text_original,likes_count,user_sex,user_age,text_lemmatized
618417519,Русьё схавает и попросит добавки,0,f,25,русьё схаваета попросить добавка
338520823,М-да. Просто позорище. Верх непрофессионализма,0,m,None,просто позорище верх непрофессионализм
19208413,"Ну не может быть, чтоб он сам не осознавал, насколько он отсталый деген",1,m,24,ну осознавать насколько отсталый деген
64451114,"У него для таких ошибок есть специальный персонал, терпилы для битья. Якобы они ему подсовывают недостоверный материал",0,m,33,у такой ошибка специальный персонал терпил битьё якобы подсовывать недостоверный материал
50242836,"Арма? Серьезно? Думал, там хотя бы DCS будет.",0,m,None,арма серьёзно думать хотя dcs
582269286,"[club29534144|Лентач] не дефайте ""братишкин"" меняем на ""89 сквад""",0,f,None,лентач дефайте братишкин менять сквад
440171660,Лентач можно взять территорию по мини амонг асиков между крокодилом и фреаксквадом,0,m,17,лентач взять территория минь амонг асик крокодил фреаксквад
146178710,"На самом деле никакой войны там нет ребят, соловьев по приказу путлера показаывает мультики и выдает их за действительность. Вот это тоже на мосфильме снято. Азеры целуют армян, поднимают их на руках, армяне аплодируют азерам, развернули лгбт флаг, одели парики, все друг друга обнимают, танцуют в женских купальниках, в нарды играют и едят абрикосы и ходят с транспорантами хэштэг навальныйживи.",0,m,27,на самый дело никакой война ребята соловьёв приказ путлера показаывать мультик выдавать действительность вот это мосфильм снятой азер целовать армянин поднимать рука армянин аплодировать азер развернуть лгбт флаг одеть парик друг друг обнимать танцевать женский купальник нард играть есть абрикос ходить транспорант хэштэг навальныйжить
96504231,"Стало известно, что в боях за Нагорный Карабах героически погиб пилот Джек Тоно Поркинс. Вечная слава герою Карабаха!",6,m,None,стать известно бой нагорный карабах героически погибнуть пилот джек тоно поркинс вечный слава герой карабах
16641467,"Главное хайп, а дальше другой хайп и так далее",0,m,None,главный хайп далёкий хайп далее
155066,Шокирующие кадры как во время перемирия армянская армия уничтожает азербайджанскую авиацию при помощи ПТУРов,2,m,None,шокировать кадр время перемирие армянский армия уничтожать азербайджанский авиация помощь птур
329141673,"""Я мыслю, следовательно, я существую"" - Рене Декарт, "" Я обсираюсь, следовательно, я существую"" - Соловьев",0,m,28,я мыслить следовательно существовать рен декарт я обсираться следовательно существовать соловьёв
135601553,"Раз это заметили, значит лишний раз доказали тот факт, что кто-то все же его смотрит. Shame on you, my friend.",0,m,22,раз это заметить значит лишний доказать факт смотреть shame on you my friend
556183780,Он у деда подсмотрел фишку,0,m,54,он дед подсмотреть фишка
3286509,"Уже не первый раз кадры из АрмА светятся в новостях.
Кстати, как там закон про ложную информацию в интернет работает?",0,m,33,уже первый кадр арма светиться новость кстати закон ложный информация интернет работать
226293760,"Его аудитория - ""глубинный"" народ, на который опирается сегодня власть и который в массе за неё голосует. Мнение аудитории лентача его мало волнует.",0,m,None,он аудитория глубинный народ который опираться сегодня власть который масса она голосовать мнение аудитория лентач мало волновать
22236590,"Ну допустим не он, он же деревень старожильный, тупорылый. С технологиями на ВЫ, но его группа знатно подосрала ему. И причём не в первый раз.",0,m,None,ну допустить деревня старожильный тупорылый с технология вы группа знатно подосрало и причём первый
618129972,"Для армян сейчас единственный выход - кинуть Россию в ответ, выйти из всех совместных организаций, самостоятельно договориться с азерами, отдать им все что те хотят и заключить мир, долго извиняться и каяться. После чего уже ехать к турецкому султану на поклон и сосать-лизать, умолять чтобы он простил носатых, публично заявить что никакого геноцида не было, снять все претензии. Ну и плавно перейти в сферу турецкого влияния. Это всяко будет лучше чем ложится под Россию",1,m,22,для армянин единственный выход кинуть россия ответ выйти совместный организация самостоятельно договориться азер отдать тот хотеть заключить мир долго извиняться каяться после ехать турецкий султан поклон умолять простить носатый публично заявить никакой геноцид снять претензия ну плавно перейти сфера турецкий влияние это всяко ложиться россия
134588333,"согласен, потом помёт гордится , что про его говно опять написали
он спецом это подкидывает",5,m,None,согласный помёт гордиться говно написать спец это подкидывать
28076589,"[id196202102|Кирилл], ему осталось в гей-порно сняться",1,m,None,кирилл остаться сняться
566187530,"[id196202102|Кирилл], человек в здравом уме такое смотреть не будет, как помет не пиарь",0,m,103,кирилл человек здравый ум такой смотреть помета пиарить
540741663,так пиар нужен не для того что бы кто то конкретный увидел - а что бы охватить максимально возможную аудиторию а среди них найдутся индивидумы для потребления,0,m,32,пиар нужный конкретный увидеть охватить максимально возможный аудитория среди найтись индивидум потребление
519187674,"[id590821700|Данил], а арма так преуспела, что конфликты в ней реалистичнее чем в жизни",166,m,None,данил арма преуспеть конфликт реалистичный жизнь
1137006,"[id519187674|Артемий], конфликты там реально ЗБС!
Я в редакторе специально делал ночной бой 3 армий, и чтобы техники побольше.

На хорошем компе выглядит шикарно, а с хорошими колонками вобще огонь.",10,m,30,артемий конфликт реально збс я редактор специально делать ночной бой армия техника большой на хороший комп выглядеть шикарно хороший колонка вобщий огонь
222195327,"[id519187674|Артемий], арма не плохой симулятор",3,m,23,артемий арма плохой симулятор
8075334,почему в очередной раз? можно подумать он выходил из состояния обосрания,2,m,52,почему очередной подумать выходить состояние обосрания
30009016,"[id590821700|Данил], Вот вы и ты тут пошутил д.о.л.ба.еб Ты, а это он вдлалбливает людям. А ты г.о.в.но шутишь!",0,m,None,данил вот пошутить ты это вдлалбливать человек а шутить
1137006,"[id8075334|Вячеслав], у его Состояния обосрания долларовый эквивалент в несколько сотен миллионов.",0,m,30,вячеслав состояние обосрания долларовый эквивалент несколько сотня миллион
6512598,"[id33220952|Александр], новичок😦",5,m,33,александр
613629914,"[id21076757|Рамиль],  в данном случае он говорит по факту, что война это плохо. Что за каждым прицелом стоит человеческая жизнь",2,m,50,рамиль данный случай говорить факт война это плохо что каждый прицел стоить человеческий жизнь
9812420,глубокая мысль,17,m,None,глубокий мысль
98940588,"[id82518248|Валерий], уж лучше бы Ваха, показал бы как в Карабахе Великий суп наварили.",56,m,None,валерий ваха показать карабах великий суп наварить
151085575,"[id98940588|Алексей], Таларнский танковый схватился с Кататчанскими ребятами, приняв за орков.",5,m,33,алексей таларнский танковый схватиться кататчанский ребята принять орковы
98940588,"[id151085575|Антон], Сенсация! Секретные кадры! Фашистко-биндеровские каратели нападают на Блэт Нэвэльного, дабы очернить имя Императора Человечества:",0,m,None,антон сенсация секретный кадр каратель нападать блэта нэвэльный даба очернить имя император человечество
94746399,"[id58427373|Андрей], Ну вы же тут жрете эту помойку, да еще и облизываетесь, так почему бы путиноидам не есть с другого стола. Гастрономические пристрастия - у всех различные.",1,m,35,андрей ну жрать помойка облизываться почему путиноид другой стол гастрономический пристрастие различный
506976497,"[id94746399|Андрей], а ты терпила получается? Или тебя все устраивает?",1,m,17,андрей терпил получаться или устраивать
15120,"[id559912398|Alyona], тем не менее, электорат хавает",5,m,31,alyona менее электорат хаваета
